salt,solvent,concentration_mol_per_l,temperature_C,conductivity_S_per_cm
LiClO4,DMC,1.43,36.2,0.5332
LiBF4,PC,1.12,76.6,1.0368
LiTFSI,EC,0.69,61.2,0.7991
LiBF4,DMC,1.65,51.9,0.8075
LiBF4,DMC,1.4,20.9,0.6146
LiClO4,PC,0.41,20.9,0.3378
LiBF4,EC,1.83,14.1,0.8999
LiClO4,DMC,1.66,70.6,0.8761
LiPF6,DEC,1.9,52.1,1.2754
LiPF6,DEC,1.48,59.6,1.1716
LiClO4,DEC,1.27,11.4,0.4685
LiPF6,EC,0.89,77.9,1.238
LiTFSI,DMC,1.87,68.3,1.1685
LiBF4,DEC,1.75,24.9,0.7619
LiTFSI,EC,0.19,22.7,0.2561
LiBF4,DEC,0.15,22.8,0.1968
LiPF6,PC,0.82,31.3,0.5745
LiTFSI,DMC,1.64,46.7,0.9233
LiPF6,DMC,1.98,40.2,1.0743
LiBF4,EC,0.39,30.4,0.3549
LiClO4,EC,1.23,52.8,0.8066
LiClO4,DMC,0.82,19.8,0.3793
LiTFSI,DEC,1.94,30.5,1.0101
LiPF6,DEC,1.7,35.6,0.9587
LiPF6,PC,1.69,41.9,1.0933
LiTFSI,DEC,0.99,65.0,0.9116
LiClO4,EC,0.89,24.0,0.445
LiBF4,EC,0.62,46.0,0.607
LiTFSI,DEC,0.21,51.5,0.4951
LiBF4,EC,1.74,13.3,0.7633
LiClO4,DMC,1.64,52.5,0.7563
LiPF6,DMC,2.0,21.9,0.9221
LiClO4,DEC,1.99,14.6,0.6607
LiTFSI,DMC,1.16,76.4,0.9794
LiPF6,DMC,1.56,77.6,1.181
LiTFSI,PC,1.9,66.6,1.3267
LiTFSI,PC,1.71,31.3,0.9455
LiClO4,DMC,0.57,16.8,0.2694
LiTFSI,DEC,0.96,57.9,0.8187
LiClO4,PC,0.35,40.8,0.4103
LiPF6,EC,1.91,18.5,1.1467
LiClO4,EC,1.25,44.7,0.7351
LiPF6,EC,0.53,12.4,0.3952
LiClO4,DEC,1.38,73.7,0.8649
LiBF4,DMC,1.27,28.1,0.5879
LiBF4,EC,0.78,56.4,0.7646
LiTFSI,DEC,0.32,31.8,0.339
LiClO4,PC,1.38,46.4,0.7062
LiClO4,DMC,1.09,48.3,0.5362
LiPF6,PC,1.57,22.9,0.9917
LiTFSI,DEC,1.09,77.9,0.9651
LiClO4,EC,1.72,64.3,1.0276
LiTFSI,EC,1.15,75.8,1.1671
LiBF4,DEC,1.17,72.6,0.9222
LiClO4,EC,1.77,51.9,0.9721
LiClO4,DMC,0.87,74.5,0.6959
LiTFSI,DEC,0.35,16.2,0.232
LiClO4,PC,0.15,23.7,0.2055
LiTFSI,DEC,1.53,13.2,0.654
LiClO4,DMC,1.28,32.8,0.602
LiPF6,DMC,1.44,37.2,0.8262
LiTFSI,DEC,0.5,29.0,0.4249
LiClO4,DEC,0.36,68.0,0.5306
LiBF4,EC,0.13,35.0,0.3483
LiClO4,DMC,0.77,29.7,0.3765
LiBF4,DEC,1.22,48.0,0.7367
LiBF4,DEC,0.85,19.9,0.4256
LiPF6,DMC,0.93,66.2,0.8954
LiTFSI,DEC,1.82,15.2,0.8494
LiClO4,EC,0.76,79.1,0.8969
LiPF6,DMC,1.08,64.1,0.9222
LiClO4,EC,1.59,23.9,0.6759
LiBF4,EC,0.85,10.4,0.4196
LiTFSI,EC,1.28,67.1,1.2958
LiClO4,EC,1.74,59.5,0.9972
LiClO4,DMC,1.9,61.0,0.9197
LiBF4,EC,0.38,64.0,0.731
LiClO4,EC,1.86,15.2,0.7379
LiClO4,DEC,1.04,35.1,0.5351
LiBF4,DMC,0.59,18.1,0.3568
LiPF6,DMC,0.97,70.4,0.9362
LiBF4,PC,1.96,53.6,1.0844
LiPF6,DMC,1.04,33.2,0.658
LiTFSI,DMC,0.72,14.4,0.3267
LiPF6,PC,1.3,31.8,0.8417
LiPF6,DMC,0.56,32.8,0.4371
LiTFSI,DMC,0.24,61.1,0.5273
LiPF6,DMC,0.34,54.6,0.5422
LiBF4,DMC,0.34,72.1,0.5778
LiPF6,PC,0.39,43.1,0.493
LiTFSI,DMC,0.36,18.4,0.2738
LiBF4,DMC,1.32,59.9,0.8326
LiTFSI,PC,0.45,63.3,0.6139
LiTFSI,DEC,0.76,49.3,0.6821
LiClO4,EC,1.8,64.0,1.1207
LiClO4,DEC,1.0,44.6,0.5267
LiTFSI,PC,1.37,46.6,1.0
LiTFSI,EC,0.43,39.9,0.5717
LiTFSI,PC,0.47,11.8,0.2572
LiClO4,PC,0.18,17.6,0.1655
LiClO4,DMC,0.42,12.2,0.2016
LiPF6,EC,0.63,54.5,0.8643
LiPF6,DMC,0.44,32.0,0.4536
LiTFSI,EC,0.27,45.6,0.4905
LiBF4,PC,0.33,73.5,0.6543
LiBF4,PC,0.98,27.5,0.4995
LiClO4,DEC,0.49,38.7,0.3729
LiClO4,EC,0.79,62.9,0.6851
LiClO4,DMC,1.06,26.0,0.4219
LiTFSI,DEC,1.41,15.4,0.7043
LiBF4,DEC,0.17,30.3,0.3008
LiPF6,DEC,1.62,21.3,0.8953
LiTFSI,DMC,1.29,75.1,0.9656
LiPF6,DEC,0.26,66.6,0.6629
LiPF6,DMC,1.76,54.3,1.1872
LiTFSI,DEC,1.85,71.0,1.2562
LiPF6,DMC,0.22,66.3,0.7108
LiBF4,PC,0.63,23.1,0.407
LiPF6,PC,1.63,72.5,1.3945
LiBF4,PC,1.52,47.8,0.8799
LiBF4,PC,0.45,66.5,0.6458
LiBF4,PC,0.5,72.7,0.6981
LiClO4,DEC,0.8,32.3,0.451
LiPF6,DEC,1.02,17.7,0.6246
LiTFSI,DEC,1.27,26.0,0.6543
LiTFSI,DMC,0.8,39.9,0.5273
LiPF6,DMC,0.98,67.3,0.8566
LiClO4,DMC,1.52,70.3,0.8332
LiClO4,DMC,0.17,10.5,0.0754
LiBF4,PC,0.58,45.8,0.4607
LiPF6,PC,1.46,39.2,1.0275
LiPF6,PC,1.8,25.5,1.1521
LiTFSI,EC,1.07,18.4,0.6467
LiPF6,DEC,1.11,33.6,0.7933
LiClO4,DMC,0.3,76.0,0.5119
LiPF6,DMC,0.95,32.6,0.637
LiTFSI,PC,1.11,46.3,0.8619
LiBF4,DMC,0.56,59.2,0.5489
LiTFSI,DMC,0.61,35.5,0.4845
LiTFSI,DEC,0.82,78.0,0.9228
LiBF4,PC,0.14,77.4,0.5834
LiTFSI,DEC,0.71,27.6,0.5209
LiTFSI,EC,0.5,44.8,0.6204
LiPF6,EC,0.72,31.1,0.6328
LiPF6,EC,0.33,29.9,0.4912
LiBF4,PC,1.79,12.6,0.7026
LiPF6,DMC,1.23,52.7,0.9145
LiPF6,PC,1.39,45.2,1.0318
LiTFSI,PC,1.6,13.6,0.8022
LiClO4,DMC,1.05,29.5,0.4725
LiPF6,DEC,0.27,73.6,0.7391
LiClO4,EC,1.12,26.8,0.608
LiPF6,DEC,1.21,20.1,0.7445
LiPF6,EC,1.52,44.3,1.2305
LiBF4,PC,0.92,79.0,0.9003
LiBF4,EC,0.34,26.9,0.2991
LiBF4,PC,0.64,57.0,0.6028
LiClO4,DEC,0.79,63.3,0.6027
LiTFSI,PC,1.33,26.6,0.7297
LiPF6,DEC,1.18,61.0,1.0118
LiPF6,DMC,0.78,35.7,0.6002
LiPF6,DMC,1.97,54.3,1.2433
LiClO4,DMC,1.25,54.3,0.6524
LiBF4,PC,0.55,47.5,0.5575
LiTFSI,DMC,0.29,16.3,0.2242
LiClO4,EC,0.39,68.5,0.5467
LiBF4,DEC,0.57,32.5,0.3826
LiClO4,DEC,0.41,23.1,0.2549
LiTFSI,EC,0.45,12.9,0.2638
LiBF4,PC,0.64,51.4,0.6218
LiClO4,PC,0.43,57.4,0.5455
LiTFSI,DEC,1.8,11.2,0.8205
LiPF6,DMC,0.25,45.8,0.4582
LiTFSI,PC,1.1,25.9,0.7153
LiPF6,PC,0.88,55.2,0.8991
LiClO4,EC,1.97,22.2,0.8331
LiBF4,EC,0.31,58.4,0.5664
LiBF4,DMC,0.86,37.1,0.5028
LiClO4,PC,1.94,75.6,1.075
LiBF4,PC,1.74,19.6,0.7738
LiBF4,EC,1.65,33.9,0.9374
LiPF6,PC,0.59,17.9,0.4271
LiClO4,DEC,0.42,74.7,0.5826
LiTFSI,EC,1.37,71.4,1.3128
LiPF6,DMC,1.87,28.1,1.0104
LiClO4,EC,1.16,56.2,0.7474
LiPF6,PC,1.19,67.2,1.0254
LiTFSI,DMC,0.63,48.9,0.6123
LiTFSI,EC,1.56,47.1,1.0642
LiClO4,DEC,0.46,26.9,0.2904
LiTFSI,DEC,0.71,16.5,0.3532
LiPF6,EC,0.91,72.8,1.093
LiTFSI,DEC,1.06,73.0,0.9848
LiPF6,DEC,0.56,54.3,0.732
LiPF6,DEC,0.32,33.7,0.3982
LiTFSI,DMC,1.26,34.4,0.6083
LiClO4,DEC,0.65,60.8,0.539
LiBF4,DEC,1.2,72.8,0.9163
LiTFSI,DEC,0.39,72.1,0.6441
LiPF6,DMC,1.01,64.6,0.9281
LiPF6,EC,1.11,54.9,1.1037
LiTFSI,PC,0.2,15.9,0.2332
LiClO4,DEC,0.74,21.3,0.3505
LiClO4,EC,0.36,72.9,0.6022
LiPF6,DEC,0.22,52.5,0.5902
LiPF6,DMC,1.98,10.6,0.8708
LiClO4,EC,0.71,17.1,0.3673
LiBF4,DMC,1.64,56.4,0.8562
LiTFSI,DEC,0.58,10.4,0.2841
LiPF6,DEC,1.39,21.3,0.7338
